NAME,TEAM,POS,AGE,GP,MPG,PPG
Nickeil Alexander-Walker,Uta,G,23.79,1,4.7,5
Grayson Allen,Mil,G,26.69,12,25.4,8.3
Jose Alvarado,Nor,G,24.18,6,19.5,8
Desmond Bane,Mem,G,23.98,12,35.6,18.8
Will Barton,Den,G,31.44,5,34.4,13.8
Malik Beasley,Min,G,25.55,6,19.9,8.5
Patrick Beverley,Min,G,33.93,6,32.3,11
Bogdan Bogdanovic,Atl,G,29.83,4,26.7,14.3
Isaac Bonga,Tor,G,22.61,1,2.8,2
Devin Booker,Pho,G,25.63,10,36.6,23.3
Armoni Brooks,Tor,G,24.03,4,1.9,0
Jalen Brunson,Dal,G,25.79,18,35,21.6
Trey Burke,Dal,G,29.59,10,3.7,3.2
Jared Butler,Uta,G,21.81,1,4.7,0
Facundo Campazzo,Den,G,31.24,4,3.4,0
Jevon Carter,Mil,G,26.76,11,11.4,2.1
Alex Caruso,Chi,G,28.3,4,28.4,6.3
Jordan Clarkson,Uta,G,30.03,6,28.4,17.5
Mike Conley,Uta,G,34.68,6,29,9.2
Pat Connaughton,Mil,G,29.44,12,26.5,9.5
Seth Curry,Bro,G,31.82,4,33.1,14.5
Stephen Curry,Gol,G,34.26,22,34.7,27.4
Spencer Dinwiddie,Dal,G,29.2,18,27.8,14.2
Ayo Dosunmu,Chi,G,22.41,5,17.1,4
Goran Dragic,Bro,G,36.12,4,19.8,10.5
Anthony Edwards,Min,G,20.87,6,37.8,25.2
Malachi Flynn,Tor,G,24.1,6,6.1,0
Bryn Forbes,Den,G,28.9,5,15.3,4
Devonte' Graham,Nor,G,27.32,6,10,4
Danny Green,Phi,G,34.99,12,26.6,8.6
Josh Green,Dal,G,21.58,16,7.6,1.4
James Harden,Phi,G,32.81,12,39.9,18.6
Tyler Herro,Mia,G,22.41,15,25.4,12.6
George Hill,Mil,G,36.12,5,15.3,1
Aaron Holiday,Pho,G,25.71,6,3.3,3.5
Jrue Holiday,Mil,G,32.01,12,38.6,19.1
Bones Hyland,Den,G,21.75,5,17.3,9.2
Kyrie Irving,Bro,G,30.23,4,42.6,21.3
Isaiah Joe,Phi,G,22.96,7,2.1,0.7
Tyus Jones,Mem,G,26.1,12,21.9,9.2
John Konchar,Mem,G,26.24,8,7,1.1
Kyle Lowry,Mia,G,36.23,10,29.5,7.8
Wesley Matthews,Mil,G,35.67,12,28.7,6.2
Tyrese Maxey,Phi,G,21.61,12,40.4,20.8
Skylar Mays,Atl,G,24.78,2,4.6,1
CJ McCollum,Nor,G,30.74,6,39,22.2
Jordan McLaughlin,Min,G,26.19,5,16.6,6.2
De'Anthony Melton,Mem,G,24.06,10,17,5.6
Patty Mills,Bro,G,33.85,4,18.1,6.3
Donovan Mitchell,Uta,G,25.77,6,38.3,25.5
Moses Moody,Gol,G,20.05,13,8.1,3.2
Ja Morant,Mem,G,22.85,9,37.5,27.1
Monte Morris,Den,G,26.97,5,31.1,14
Jaylen Nowell,Min,G,22.94,1,11.9,6
Frank Ntilikina,Dal,G,23.89,12,10.4,1.9
Josh Okogie,Min,G,23.79,1,2.2,0
Victor Oladipo,Mia,G,30.12,15,24.5,10.6
Chris Paul,Pho,G,37.12,13,34.4,17.5
Cameron Payne,Pho,G,27.86,13,13.2,4.2
Gary Payton II,Gol,G,29.54,12,17,6.5
Elfrid Payton,Pho,G,28.32,2,3.9,2
Jordan Poole,Gol,G,23,22,27.5,17
Payton Pritchard,Bos,G,24.38,24,12.9,4.8
Austin Rivers,Den,G,29.87,5,21.7,4.2
D'Angelo Russell,Min,G,26.31,6,32.7,12
Landry Shamet,Pho,G,25.26,12,16,4.3
Marcus Smart,Bos,G,28.28,21,36.2,15.4
Jaden Springer,Phi,G,19.73,5,2.6,1.2
Nik Stauskas,Bos,G,28.69,13,1.8,1
Cam Thomas,Bro,G,20.68,1,0.4,0
Klay Thompson,Gol,G,32.35,22,36,19
Rayjon Tucker,Mil,G,24.73,8,2.4,0.3
Fred VanVleet,Tor,G,28.31,4,35,13.8
Luca Vildoza,Mil,G,20,7,2.4,0.7
Gabe Vincent,Mia,G,26.01,18,23.5,8
Coby White,Chi,G,22.33,5,19.6,8.4
Derrick White,Bos,G,27.96,23,25.4,8.5
Delon Wright,Atl,G,30.14,5,27.4,8.2
Trae Young,Atl,G,23.74,5,37.3,15.4
